,0,1,2,3,4,5,6,7,8,9,10,11
0,-19.447070205514382,15.26308652317955,0.0,0.0,4.234983682334831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.26308652317955,-30.272115398779068,4.781863151757718,5.115838325872082,5.193927397969713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,4.781863151757718,-5.1111530889894645,0.3575899372317467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,5.115838325872082,0.3575899372317467,-28.826561316319026,21.578553981691588,0.0,1.7979790715236075,0.0,0.0,0.0,0.0,0.0
4,4.234983682334831,5.193927397969713,0.0,21.578553981691588,-34.93350411445229,3.9679390524561544,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,3.9679390524561544,-17.34073280991911,0.0,0.0,4.0940743442404415,3.1759639650294,6.102755448193115,0.0
6,0.0,0.0,0.0,1.7979790715236075,0.0,0.0,-15.192423655515126,10.365394127060915,0.0,0.0,0.0,3.0290504569306034
7,0.0,0.0,0.0,0.0,0.0,0.0,10.365394127060915,-14.768337876521436,4.402943749460521,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,4.0940743442404415,0.0,4.402943749460521,-8.497018093700962,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,3.1759639650294,0.0,0.0,0.0,-5.427938591201611,2.251974626172212,0.0
10,0.0,0.0,0.0,0.0,0.0,6.102755448193115,0.0,0.0,0.0,2.251974626172212,-10.66969354947068,2.314963475105352
11,0.0,0.0,0.0,0.0,0.0,0.0,3.0290504569306034,0.0,0.0,0.0,2.314963475105352,-5.344013932035955
